,count
2014-08-10,121
2014-08-11,482
2014-08-12,434
2014-08-13,323
2014-08-14,414
2014-08-15,397
2014-08-16,169
2014-08-17,135
2014-08-18,1699
2014-08-19,1807
2014-08-20,1817
2014-08-21,2431
2014-08-22,2043
2014-08-23,559
2014-08-24,1053
2014-08-25,1483
2014-08-26,2619
2014-08-27,2123
2014-08-28,2877
2014-08-29,917
2014-08-30,528
2014-08-31,3657
2014-09-01,3506
2014-09-02,3725
2014-09-03,4053
2014-09-04,3345
2014-09-05,888
2014-09-06,569
2014-09-07,4682
2014-09-08,3921
2014-09-09,3479
2014-09-10,3650
2014-09-11,3392
2014-09-12,665
2014-09-13,497
2014-09-14,4230
2014-09-15,3440
2014-09-16,3483
2014-09-17,3541
2014-09-18,1966
2014-09-19,717
2014-09-20,622
2014-09-21,3608
2014-09-22,3615
2014-09-23,3820
2014-09-24,3559
2014-09-25,3267
2014-09-26,805
2014-09-27,483
2014-09-28,3852
2014-09-29,3306
2014-09-30,3245
2014-10-01,3420
2014-10-02,3489
2014-10-03,3863
2014-10-04,2747
2014-10-05,3657
2014-10-06,3580
2014-10-07,2947
2014-10-08,3415
2014-10-09,3085
2014-10-10,795
2014-10-11,374
2014-10-12,3258
2014-10-13,3101
2014-10-14,3138
2014-10-15,3220
2014-10-16,2948
2014-10-17,606
2014-10-18,444
2014-10-19,3588
2014-10-20,3306
2014-10-21,2881
2014-10-22,2833
2014-10-23,3038
2014-10-24,821
2014-10-25,381
2014-10-26,3367
2014-10-27,3058
2014-10-28,3240
2014-10-29,2852
2014-10-30,2993
2014-10-31,796
2014-11-01,227
2014-11-02,205
2014-11-03,439
2014-11-04,412
2014-11-05,3239
2014-11-06,3183
2014-11-07,740
2014-11-08,495
2014-11-09,3764
2014-11-10,3188
2014-11-11,3147
2014-11-12,2998
2014-11-13,2900
2014-11-14,683
2014-11-15,419
2014-11-16,3248
2014-11-17,3141
2014-11-18,3908
2014-11-19,3957
2014-11-20,4289
2014-11-21,646
2014-11-22,341
2014-11-23,3669
2014-11-24,3204
2014-11-25,3003
2014-11-26,1941
2014-11-27,672
2014-11-28,120
2014-11-29,163
2014-11-30,220
2014-12-01,3182
2014-12-02,3235
2014-12-03,3567
2014-12-04,3195
2014-12-05,675
2014-12-06,334
2014-12-07,3839
2014-12-08,3448
2014-12-09,3060
2014-12-10,2967
2014-12-11,2749
2014-12-12,851
2014-12-13,366
2014-12-14,4392
2014-12-15,3102
2014-12-16,2874
2014-12-17,2317
2014-12-18,2051
2014-12-19,333
2014-12-20,131
2014-12-21,113
2014-12-22,188
2014-12-23,134
2014-12-24,102
2014-12-25,61
2014-12-26,36
2014-12-27,69
2014-12-28,87
2014-12-29,80
2014-12-30,90
2014-12-31,85
2015-01-01,68
2015-01-02,83
2015-01-03,98
2015-01-04,165
2015-01-05,151
2015-01-06,170
2015-01-07,232
2015-01-08,277
2015-01-09,190
2015-01-10,123
2015-01-11,149
2015-01-12,271
2015-01-13,206
2015-01-14,289
2015-01-15,384
2015-01-16,381
2015-01-17,295
2015-01-18,342
2015-01-19,344
2015-01-20,3854
2015-01-21,3554
2015-01-22,3481
2015-01-23,767
2015-01-24,619
2015-01-25,3863
2015-01-26,3636
2015-01-27,5549
2015-01-28,3589
2015-01-29,3558
2015-01-30,580
2015-01-31,397
2015-02-01,3145
2015-02-02,3290
2015-02-03,3370
2015-02-04,3526
2015-02-05,3161
2015-02-06,824
2015-02-07,538
2015-02-08,3746
2015-02-09,3574
2015-02-10,3263
2015-02-11,3521
2015-02-12,3446
2015-02-13,928
2015-02-14,508
2015-02-15,3959
2015-02-16,3301
2015-02-17,3664
2015-02-18,3533
2015-02-19,3133
2015-02-20,980
2015-02-21,447
2015-02-22,3900
2015-02-23,3590
2015-02-24,3725
2015-02-25,3652
2015-02-26,3351
2015-02-27,4056
2015-02-28,2068
2015-03-01,3683
2015-03-02,3574
2015-03-03,3445
2015-03-04,3325
2015-03-05,3205
2015-03-06,801
2015-03-07,533
2015-03-08,3872
2015-03-09,3391
2015-03-10,3484
2015-03-11,3253
2015-03-12,2810
2015-03-13,744
2015-03-14,247
2015-03-15,251
2015-03-16,351
2015-03-17,356
2015-03-18,344
2015-03-19,421
2015-03-20,467
2015-03-21,323
2015-03-22,380
2015-03-23,3463
2015-03-24,3584
2015-03-25,3517
2015-03-26,3292
2015-03-27,676
2015-03-28,410
2015-03-29,3729
2015-03-30,3511
2015-03-31,3466
2015-04-01,3336
2015-04-02,3095
2015-04-03,716
2015-04-04,999
2015-04-05,3541
2015-04-06,4260
2015-04-07,3860
2015-04-08,3445
2015-04-09,3476
2015-04-10,922
2015-04-11,552
2015-04-12,3497
2015-04-13,3845
2015-04-14,3846
2015-04-15,3864
2015-04-16,3476
2015-04-17,736
2015-04-18,519
2015-04-19,3723
2015-04-20,3368
2015-04-21,3401
2015-04-22,3315
2015-04-23,3076
2015-04-24,670
2015-04-25,502
2015-04-26,3822
2015-04-27,3540
2015-04-28,3504
2015-04-29,3517
2015-04-30,4865
2015-05-01,666
2015-05-02,407
2015-05-03,3981
2015-05-04,3148
2015-05-05,2812
2015-05-06,2966
2015-05-07,3198
2015-05-08,719
2015-05-09,474
2015-05-10,4195
2015-05-11,2999
2015-05-12,2743
2015-05-13,2740
2015-05-14,609
2015-05-15,590
2015-05-16,225
2015-05-17,146
2015-05-18,251
2015-05-19,635
2015-05-20,458
2015-05-21,303
2015-05-22,168
2015-05-23,85
2015-05-24,74
2015-05-25,64
2015-05-26,174
2015-05-27,162
2015-05-28,241
2015-05-29,148
2015-05-30,112
2015-05-31,95
2015-06-01,115
2015-06-02,119
2015-06-03,187
2015-06-04,185
2015-06-05,147
2015-06-06,116
2015-06-07,140
2015-06-08,133
2015-06-09,145
2015-06-10,204
2015-06-11,225
2015-06-12,131
2015-06-13,78
2015-06-14,124
2015-06-15,189
2015-06-16,109
2015-06-17,128
2015-06-18,203
2015-06-19,176
2015-06-20,121
2015-06-21,78
2015-06-22,137
2015-06-23,217
2015-06-24,135
2015-06-25,177
2015-06-26,207
2015-06-27,98
2015-06-28,153
2015-06-29,186
2015-06-30,129
2015-07-01,240
2015-07-02,145
2015-07-03,92
2015-07-04,132
2015-07-05,68
2015-07-06,235
2015-07-07,184
2015-07-08,140
2015-07-09,204
2015-07-10,199
2015-07-11,142
2015-07-12,106
2015-07-13,221
2015-07-14,261
2015-07-15,243
2015-07-16,268
2015-07-17,197
2015-07-18,91
2015-07-19,74
2015-07-20,249
2015-07-21,223
2015-07-22,139
2015-07-23,304
2015-07-24,238
2015-07-25,158
2015-07-26,145
2015-07-27,119
2015-07-28,151
2015-07-29,241
2015-07-30,146
2015-07-31,198
2015-08-01,137
2015-08-02,118
2015-08-03,203
2015-08-04,128
2015-08-05,126
2015-08-06,222
2015-08-07,148
2015-08-08,108
2015-08-09,108
2015-08-10,141
2015-08-11,139
2015-08-12,143
2015-08-13,173
2015-08-14,164
2015-08-15,82
2015-08-16,76
2015-08-17,192
2015-08-18,88
2015-08-19,109
2015-08-20,166
2015-08-21,60
2015-08-22,294
2015-08-23,53
2015-08-24,1168
2015-08-25,1512
2015-08-26,1677
2015-08-27,1707
2015-08-28,1364
2015-08-29,184
2015-08-30,235
2015-08-31,177
2015-09-01,422
2015-09-02,630
2015-09-03,441
2015-09-04,96
2015-09-05,86
2015-09-06,3419
2015-09-07,3670
2015-09-08,3134
2015-09-09,3080
2015-09-10,2999
2015-09-11,132
2015-10-05,109
2015-10-06,3265
2015-10-07,3338
2015-10-08,2746
2015-10-09,476
2015-10-10,316
2015-10-11,3598
2015-10-12,3086
2015-10-13,3001
2015-10-14,3318
2015-10-15,2845
2015-10-16,473
2015-10-17,362
2015-10-18,3318
2015-10-19,1404
2015-10-23,70
2015-10-24,159
2015-10-25,4199
2015-10-26,3253
2015-10-27,3378
2015-10-28,2847
2015-10-29,2839
2015-10-30,231
2015-10-31,142
2015-11-01,144
2015-11-02,176
2015-11-03,211
2015-11-04,3101
2015-11-05,2611
2015-11-06,341
2015-11-07,361
2015-11-08,3979
2015-11-09,2977
2015-11-10,2989
2015-11-11,3068
2015-11-12,2828
2015-11-13,221
2015-11-14,84
2015-11-15,3736
2015-11-16,2966
2015-11-17,4062
2015-11-18,3652
2015-11-19,3189
2015-11-20,266
2015-11-21,64
2015-11-22,3755
2015-11-23,3108
2015-11-24,2626
2015-11-25,1183
2015-11-26,650
2015-11-27,9
2015-11-28,18
2015-11-29,64
2015-11-30,2809
2015-12-01,3277
2015-12-02,3417
2015-12-03,3678
2015-12-04,79
2015-12-05,71
2015-12-06,3971
2015-12-07,3100
2015-12-08,3966
2015-12-09,3285
2015-12-10,3061
2015-12-11,96
2015-12-12,66
2015-12-13,4100
2015-12-14,3026
2015-12-15,3092
2015-12-16,3279
2015-12-17,3140
2015-12-18,116
2015-12-19,59
2015-12-20,4433
2015-12-21,2350
2015-12-22,1596
2015-12-23,614
2015-12-24,7
2015-12-25,6
2015-12-26,3
2015-12-27,4
2015-12-28,15
2015-12-29,15
2015-12-30,22
2015-12-31,11
2016-01-01,18
2016-01-02,5
2016-01-03,20
2016-01-04,17
2016-01-05,21
2016-01-06,112
2016-01-07,36
2016-01-08,48
2016-01-09,9
2016-01-10,19
2016-01-11,89
2016-01-12,37
2016-01-13,69
2016-01-14,52
2016-01-15,458
2016-01-16,53
2016-01-17,42
2016-01-18,26
2016-01-19,3802
2016-01-20,3619
2016-01-21,3739
2016-01-22,226
2016-01-23,55
2016-01-24,4883
2016-01-25,3515
2016-01-26,3835
2016-01-27,3413
2016-01-28,3630
2016-01-29,123
2016-01-30,42
2016-01-31,3861
2016-02-01,3556
2016-02-02,3157
2016-02-03,3428
2016-02-04,3339
2016-02-05,184
2016-02-06,125
2016-02-07,3245
2016-02-08,3608
2016-02-09,3457
2016-02-10,3112
2016-02-11,3190
2016-02-12,117
2016-02-13,53
2016-02-14,3833
2016-02-15,3351
2016-02-16,3221
2016-02-17,3334
2016-02-18,3332
2016-02-19,71
2016-02-20,64
2016-02-21,4046
2016-02-22,2839
2016-02-23,3485
2016-02-24,3163
2016-02-25,2817
2016-02-26,103
2016-02-27,85
2016-02-28,3712
2016-02-29,3004
2016-03-01,3544
2016-03-02,3307
2016-03-03,3292
2016-03-04,92
2016-03-05,33
2016-03-06,3725
2016-03-07,3328
2016-03-08,3429
2016-03-09,2797
2016-03-10,2447
2016-03-11,242
2016-03-12,172
2016-03-13,146
2016-03-14,184
2016-03-15,179
2016-03-16,246
2016-03-17,176
2016-03-18,135
2016-03-19,47
2016-03-20,51
2016-03-21,3257
2016-03-22,4114
2016-03-23,7906
2016-03-24,3118
2016-03-25,177
2016-03-26,136
2016-03-27,3418
2016-03-28,3140
2016-03-29,3300
2016-03-30,3310
2016-03-31,2904
2016-04-01,114
2016-04-02,100
2016-04-03,4046
2016-04-04,2997
2016-04-05,4566
2016-04-06,3927
2016-04-07,3486
2016-04-08,85
2016-04-09,119
2016-04-10,3816
2016-04-11,3609
2016-04-12,3941
2016-04-13,3861
2016-04-14,3381
2016-04-15,348
2016-04-16,85
2016-04-17,4221
2016-04-18,3408
2016-04-19,1903
2016-04-20,3131
2016-04-21,2803
2016-04-22,94
2016-04-23,0
